단어,label
유상증자,0
청약률이,0
기록했다고,1
진행,0
예정이었던,0
일반공모는,0
실시되지 않는다,-1
신주,1
상장,1
발표한,1
인공지능의료,0
로봇,0
모빌리티,0
신사업,1
확대를,0
설명했다,0
전환은,0
지원한다는,1
계획이다세부적으로,1
본격,1
확대하고,1
본격화될,1
예정이다,1
정부의,0
디지털교과서,0
도입,1
인공지능이,0
산업에도,0
확대되는,1
대응해,0
인공지능을,0
분야로,0
확대시킬,1
있는,0
준비를,0
성장계획을,1
신뢰하고,1
증자에,1
참여해주신,0
주주들에게,0
제시한,1
비전을,1
실현해,1
차별화된,1
기업가치,1
상승과,1
주주가치,1
제고에,1
최선을,1
모집하는,1
배정,0
청약을 완료했다고,1
공시했다,1
청약,0
신주인수권증서를,1
보유한,0
초과발생한,1
증권,0
인수업무,0
일반공모,0
청약자에게 배정,1
인수한다고,1
청약률,0
탄력,1
제공,0
인공지능,0
전문기업,1
구주주를,0
실시한,1
달성했다고,1
규모다,1
실시하지,-1
의료교육,0
유상증자를 결정했다,1
신규혁신 분야는,1
크게 주도한다는,1
계획이다,1
본격화한다,1
도입에,1
교육산업에도,1
확대할,1
주주에게 제시한,1
제시한,0
상승,1
성공했다고,1
유상증자에서,1
기록했다,1
전환과,1
본격화된다,1
정부가 도입함에,1
다양한,0
솔루션에,0
추진한다,1
적용된,1
제품에,0
연동돼,0
확대한다고 밝혔다,1
개발했다,1
정확하게 진단해,1
치료 솔루션이다,0
관계자는,1
협업을,1
시작으로,1
기업들과,0
재판매,1
연동된다고,1
최초로,1
적용된다병원,1
분야뿐 아니라,0
원격의료에도 활용될,1
따른 차이가,0
신속하게,1
중요하다,1
골든타임,1
원스톱,1
리코트,0
플랫폼은,0
원격의료에,0
적용될,1
전격,0
연동되어,1
적용된다,1
마이데이터,1
개인맞춤형,1
보유하고 있어,1
시너지를,1
기대하고,1
물론이고,1
추진,1
글로벌,1
예산을,1
시장까지,1
승인을,1
앞두고,1
지분도,1
취득하여,1
사업화에 속도를,1
첫,1
적용되서,1
관심이 뜨겁다며,1
공급했다고,1
역할을 한다,1
적용돼,1
가능하다,1
아이덴티티를,1
고품질,1
적용,0
확대에 나선다,1
적용했다고,1
최초,1
적용되어,1
접목해,1
니즈가 증가하고,1
적용을,0
최적화된,1
친화적인,1
나가고 있다고,1
도입으로,1
보다 효율적으로,1
양질의 ,1
규모로,1
전망되면서,1
반쪽짜리,-1
한계를 가지고 있다,-1
한계를 넘어,1
혁명을,1
